type,projection_id,start,stop,duration,metadata_size,data_size
push,0,758702.17636313,758702.176396223,3.320304676890373e-05,272,20480
push,94,758702.208152735,758702.208162934,1.0309973731637001e-05,272,20480
push,188,758702.240160501,758702.240170169,9.758980013430119e-06,272,20480
push,282,758702.272141997,758702.272150934,9.036972187459469e-06,272,20480
push,376,758702.30813665,758702.308146268,9.728013537824154e-06,272,20480
push,470,758702.336142731,758702.336151568,8.936971426010132e-06,272,20480
push,564,758702.348132566,758702.348141232,8.726026862859726e-06,272,20480
push,658,758702.376703462,758702.376712199,8.827075362205505e-06,272,20480
push,752,758702.408130804,758702.408140292,9.558047167956829e-06,272,20480
push,846,758702.44010713,758702.440116027,8.967006579041481e-06,272,20480
push,940,758702.472126188,758702.472135064,8.936040103435516e-06,272,20480
push,1034,758702.504116911,758702.504125528,8.677016012370586e-06,272,20480
push,1128,758702.516098721,758702.516107338,8.707051165401936e-06,272,20480
push,1222,758702.54811326,758702.548121756,8.566072210669518e-06,272,20480
push,1316,758702.57677625,758702.576784946,8.765957318246365e-06,272,20480
push,1410,758702.608111959,758702.608120595,8.706003427505493e-06,272,20480
push,1,758702.640114885,758702.640127779,1.297390554100275e-05,272,20480
push,95,758702.672104487,758702.672113063,8.666072972118855e-06,272,20480
push,189,758702.708117223,758702.708125669,8.506001904606819e-06,272,20480
push,283,758702.716121905,758702.716130491,8.675968274474144e-06,272,20480
push,377,758702.748104834,758702.74811348,8.71601514518261e-06,272,20480
push,471,758702.776889193,758702.776897589,8.456059731543064e-06,272,20480
push,565,758702.808108792,758702.808117378,8.656992577016354e-06,272,20480
push,659,758702.840110958,758702.840119784,8.927076123654842e-06,272,20480
push,753,758702.872221067,758702.872229643,8.676084689795971e-06,272,20480
push,847,758702.908105691,758702.908114488,8.867005817592144e-06,272,20480
push,941,758702.916101557,758702.916110143,8.646049536764622e-06,272,20480
push,1035,758702.948102339,758702.948110695,8.44593159854412e-06,272,20480
push,1129,758702.976967471,758702.976976017,8.606002666056156e-06,272,20480
push,1223,758703.004124751,758703.004133377,8.695991709828377e-06,272,20480
push,1317,758703.012102682,758703.012111559,8.987030014395714e-06,272,20480
push,1411,758703.044087966,758703.044096252,8.366070687770844e-06,272,20480
push,2,758703.076090502,758703.07609993,9.488081559538841e-06,272,20480
push,96,758703.120095316,758703.120103532,8.276081643998623e-06,272,20480
push,190,758703.136106403,758703.13611535,9.007053449749947e-06,272,20480
push,284,758703.168093781,758703.168102497,8.80600418895483e-06,272,20480
push,378,758703.188149152,758703.188157768,8.695991709828377e-06,272,20480
push,472,758703.204091659,758703.204100115,8.515897206962109e-06,272,20480
push,566,758703.236093975,758703.236102701,8.816015906631947e-06,272,20480
push,660,758703.268089166,758703.268097973,8.896924555301666e-06,272,20480
push,754,758703.288198389,758703.288206685,8.375965990126133e-06,272,20480
push,848,758703.304087937,758703.304096403,8.556060492992401e-06,272,20480
push,942,758703.33608905,758703.336097426,8.465955033898354e-06,272,20480
push,1036,758703.368112445,758703.368121352,8.977018296718597e-06,272,20480
push,1130,758703.388255542,758703.388264499,9.056995622813702e-06,272,20480
push,1224,758703.404087832,758703.404096007,8.255010470747948e-06,272,20480
push,1318,758703.436089096,758703.436097512,8.495990186929703e-06,272,20480
push,1412,758703.468087093,758703.468095218,8.195056580007076e-06,272,20480
push,3,758703.488306954,758703.48831532,8.44593159854412e-06,272,20480
push,97,758703.504088047,758703.504096523,8.556060492992401e-06,272,20480
push,191,758703.536090363,758703.536098518,8.215894922614098e-06,272,20480
push,285,758703.568092167,758703.568100723,8.616945706307888e-06,272,20480
push,379,758703.588363236,758703.588371812,8.645933121442795e-06,272,20480
push,473,758703.604092751,758703.604101087,8.425908163189888e-06,272,20480
push,567,758703.636098814,758703.63610736,8.626026101410389e-06,272,20480
push,661,758703.668091892,758703.668100548,8.735922165215015e-06,272,20480
push,755,758703.688417343,758703.688425859,8.606002666056156e-06,272,20480
push,849,758703.704091584,758703.7041002,8.687027730047703e-06,272,20480
push,943,758703.736089882,758703.736098258,8.47596675157547e-06,272,20480
push,1037,758703.76808825,758703.768096726,8.546048775315285e-06,272,20480
push,1131,758703.788474896,758703.788483673,8.836970664560795e-06,272,20480
push,1225,758703.804089565,758703.804097871,8.396105840802193e-06,272,20480
push,1319,758703.836089797,758703.836098233,8.516013622283936e-06,272,20480
push,1413,758703.868054572,758703.868063038,8.555944077670574e-06,272,20480
flush_after,1413,758703.868064761,758703.931949566,0.0638852659612894,17408,1310720
push,4,758740.652071676,758740.652089259,1.76640460267663e-05,272,20480
push,98,758740.664112835,758740.664123445,1.0690069757401943e-05,272,20480
push,192,758740.696083633,758740.69609286,9.287032298743725e-06,272,20480
push,286,758740.728078275,758740.728086801,8.606002666056156e-06,272,20480
push,380,758740.75200017,758740.752009007,8.897040970623493e-06,272,20480
push,474,758740.764077637,758740.764086023,8.456059731543064e-06,272,20480
push,568,758740.828075829,758740.828084305,8.556060492992401e-06,272,20480
push,662,758740.852049211,758740.852057597,8.44593159854412e-06,272,20480
push,756,758740.864072786,758740.864081783,9.067007340490818e-06,272,20480
push,850,758740.896079943,758740.896088609,8.735922165215015e-06,272,20480
push,944,758740.928078272,758740.928086668,8.47596675157547e-06,272,20480
push,1038,758740.952083695,758740.952092081,8.456059731543064e-06,272,20480
push,1132,758740.964074719,758740.964082995,8.336035534739494e-06,272,20480
push,1226,758740.988122191,758740.988131268,9.176903404295444e-06,272,20480
push,1320,758741.000074111,758741.000082847,8.795992471277714e-06,272,20480
push,1414,758741.032095484,758741.03210418,8.78702849149704e-06,272,20480
push,5,758741.052139288,758741.052148796,9.577954187989235e-06,272,20480
push,99,758741.068076752,758741.068084977,8.294940926134586e-06,272,20480
push,193,758741.100073338,758741.100081493,8.224975317716599e-06,272,20480
push,287,758741.128076717,758741.128084942,8.306000381708145e-06,272,20480
push,381,758741.152190734,758741.15219935,8.695991709828377e-06,272,20480
push,475,758741.168074396,758741.168082952,8.616014383733273e-06,272,20480
push,569,758741.200097713,758741.20010664,9.016948752105236e-06,272,20480
push,663,758741.228085592,758741.228094078,8.555944077670574e-06,272,20480
push,757,758741.252245155,758741.252253761,8.68597999215126e-06,272,20480
push,851,758741.268080436,758741.268088792,8.435919880867004e-06,272,20480
push,945,758741.300078605,758741.300087312,8.78702849149704e-06,272,20480
push,1039,758741.332074491,758741.332082706,8.285045623779297e-06,272,20480
push,1133,758741.352300609,758741.352308934,8.385046385228634e-06,272,20480
push,1227,758741.368105893,758741.36811534,9.52801201492548e-06,272,20480
push,1321,758741.400081319,758741.400089975,8.75699333846569e-06,272,20480
push,1415,758741.432076322,758741.432084808,8.567003533244133e-06,272,20480
push,6,758741.452361863,758741.452371841,1.0048039257526398e-05,272,20480
push,100,758741.468083809,758741.468092376,8.63696914166212e-06,272,20480
push,194,758741.500074104,758741.50008241,8.375965990126133e-06,272,20480
push,288,758741.532077062,758741.532085739,8.747098036110401e-06,272,20480
push,382,758741.552405854,758741.552414731,8.946983143687248e-06,272,20480
push,476,758741.568077066,758741.568085702,8.706003427505493e-06,272,20480
push,570,758741.600077399,758741.600086486,9.177951142191887e-06,272,20480
push,664,758741.632094554,758741.632103311,8.846982382237911e-06,272,20480
push,758,758741.652469793,758741.65247851,8.777016773819923e-06,272,20480
push,852,758741.668074169,758741.668082364,8.28609336167574e-06,272,20480
push,946,758741.700102445,758741.700111923,9.558047167956829e-06,272,20480
push,1040,758741.732073794,758741.732082049,8.304952643811703e-06,272,20480
push,1134,758741.752513735,758741.752522061,8.395989425480366e-06,272,20480
push,1228,758741.768097732,758741.768106268,8.606002666056156e-06,272,20480
push,1322,758741.800076314,758741.80008451,8.285976946353912e-06,272,20480
push,1416,758741.832093179,758741.832101635,8.546048775315285e-06,272,20480
push,7,758741.852567334,758741.85257558,8.326023817062378e-06,272,20480
push,101,758741.900076603,758741.900085049,8.535920642316341e-06,272,20480
push,195,758741.932073069,758741.932081435,8.435919880867004e-06,272,20480
push,289,758741.952642976,758741.952651772,8.866074495017529e-06,272,20480
push,383,758741.968073774,758741.96808228,8.587026968598366e-06,272,20480
push,477,758742.012077665,758742.012086422,8.856994099915028e-06,272,20480
push,571,758742.028076174,758742.028084479,8.38597770780325e-06,272,20480
push,665,758742.052698559,758742.052708939,1.0479940101504326e-05,272,20480
push,759,758742.064076708,758742.064085124,8.495990186929703e-06,272,20480
push,853,758742.096079246,758742.096087842,8.675968274474144e-06,272,20480
push,947,758742.12810114,758742.128109766,8.695991709828377e-06,272,20480
push,1041,758742.152755315,758742.152763791,8.566072210669518e-06,272,20480
push,1135,758742.164087888,758742.164096494,8.695991709828377e-06,272,20480
push,1229,758742.192093651,758742.192102107,8.516013622283936e-06,272,20480
push,1323,758742.224096319,758742.224104614,8.394941687583923e-06,272,20480
push,1417,758742.252770061,758742.252779709,9.718933142721653e-06,272,20480
flush_after,1417,758742.252781282,758742.279984503,0.02720351202879101,17408,1310720
push,8,758779.100109902,758779.100127765,1.7952988855540752e-05,272,20480
push,102,758779.108100395,758779.108110514,1.0209041647613049e-05,272,20480
push,196,758779.140081804,758779.140091022,9.28796362131834e-06,272,20480
push,290,758779.172079676,758779.172088703,9.107054211199284e-06,272,20480
push,384,758779.200050916,758779.200060143,9.286915883421898e-06,272,20480
push,478,758779.232078943,758779.232087459,8.615897968411446e-06,272,20480
push,572,758779.264075973,758779.264084549,8.646049536764622e-06,272,20480
push,666,758779.296079474,758779.296088311,8.926959708333015e-06,272,20480
push,760,758779.332077536,758779.332086563,9.077019058167934e-06,272,20480
push,854,758779.344076075,758779.344084601,8.606002666056156e-06,272,20480
push,948,758779.376077012,758779.376085327,8.406001143157482e-06,272,20480
push,1042,758779.400134083,758779.400142409,8.38597770780325e-06,272,20480
push,1136,758779.412077749,758779.412086074,8.38597770780325e-06,272,20480
push,1230,758779.444076742,758779.444085689,9.00693703442812e-06,272,20480
push,1324,758779.476082628,758779.476091335,8.797040209174156e-06,272,20480
push,1418,758779.500192589,758779.500200975,8.455943316221237e-06,272,20480
push,9,758779.512081953,758779.512091551,9.668059647083282e-06,272,20480
push,103,758779.544078751,758779.544087137,8.455943316221237e-06,272,20480
push,197,758779.57608103,758779.576089787,8.837087079882622e-06,272,20480
push,291,758779.600241467,758779.600249792,8.38597770780325e-06,272,20480
push,385,758779.612076247,758779.612084813,8.636037819087505e-06,272,20480
push,479,758779.644075531,758779.644083817,8.365954272449017e-06,272,20480
push,573,758779.676075736,758779.676084222,8.576083928346634e-06,272,20480
push,667,758779.700295384,758779.700304221,8.906936272978783e-06,272,20480
push,761,758779.712083176,758779.712092143,9.026960469782352e-06,272,20480
push,855,758779.744073963,758779.744082459,8.575967513024807e-06,272,20480
push,949,758779.77607521,758779.776084207,9.08703077584505e-06,272,20480
push,1043,758779.80034886,758779.800357036,8.236034773290157e-06,272,20480
push,1137,758779.812075517,758779.812083773,8.335919119417667e-06,272,20480
push,1231,758779.84407436,758779.844082685,8.395989425480366e-06,272,20480
push,1325,758779.876087269,758779.876096426,9.256997145712376e-06,272,20480
push,1419,758779.900509609,758779.900518686,9.177019819617271e-06,272,20480
push,10,758779.912077716,758779.912088076,1.042999792844057e-05,272,20480
push,104,758779.944078593,758779.944087099,8.56595579534769e-06,272,20480
push,198,758779.976074711,758779.976083297,8.656061254441738e-06,272,20480
push,292,758779.996114248,758779.996123045,8.867005817592144e-06,272,20480
push,386,758780.000458588,758780.000467375,8.856994099915028e-06,272,20480
push,480,758780.012073134,758780.012081459,8.385046385228634e-06,272,20480
push,574,758780.044074982,758780.044083578,8.665956556797028e-06,272,20480
push,668,758780.076076119,758780.076084645,8.59599094837904e-06,272,20480
push,762,758780.100512365,758780.100520591,8.295988664031029e-06,272,20480
push,856,758780.112074261,758780.112082607,8.426024578511715e-06,272,20480
push,950,758780.144071691,758780.144080027,8.426024578511715e-06,272,20480
push,1044,758780.176073279,758780.176081825,8.616014383733273e-06,272,20480
push,1138,758780.200578435,758780.200587382,9.036972187459469e-06,272,20480
push,1232,758780.212075469,758780.212083815,8.426024578511715e-06,272,20480
push,1326,758780.244074963,758780.244083329,8.426024578511715e-06,272,20480
push,1420,758780.276074086,758780.276082582,8.576083928346634e-06,272,20480
push,11,758780.300626561,758780.300635037,8.545932359993458e-06,272,20480
push,105,758780.312072669,758780.312080804,8.224975317716599e-06,272,20480
