type,projection_id,start,stop,duration,metadata_size,data_size
push,0,1442830.068061457,1442830.068092946,3.1640054658055305e-05,272,10240
push,0,1442830.068097114,1442830.068114006,1.7031794413924217e-05,272,10240
push,94,1442830.099882253,1442830.099892872,1.0760035365819931e-05,272,10240
push,94,1442830.099895217,1442830.099900637,5.5299606174230576e-06,272,10240
push,188,1442830.13185866,1442830.131868008,9.458046406507492e-06,272,10240
push,188,1442830.131872496,1442830.131877976,5.620997399091721e-06,272,10240
push,282,1442830.163864162,1442830.163873399,9.316951036453247e-06,272,10240
push,282,1442830.163874942,1442830.16387937,4.508998245000839e-06,272,10240
push,376,1442830.199862273,1442830.199872082,9.889015927910805e-06,272,10240
push,376,1442830.199873695,1442830.199878564,4.969071596860886e-06,272,10240
push,470,1442830.231847177,1442830.231856154,9.056879207491875e-06,272,10240
push,470,1442830.231857596,1442830.231861824,4.318077117204666e-06,272,10240
push,564,1442830.263959099,1442830.263968386,9.367940947413445e-06,272,10240
push,564,1442830.263969999,1442830.263974087,4.187924787402153e-06,272,10240
push,658,1442830.299836282,1442830.29984535,9.148148819804192e-06,272,10240
push,658,1442830.299846642,1442830.2998508,4.268018528819084e-06,272,10240
push,752,1442830.311810613,1442830.311820231,9.718118235468864e-06,272,10240
push,752,1442830.311821543,1442830.311826182,4.7390349209308624e-06,272,10240
push,846,1442830.343812969,1442830.343821716,8.826842531561852e-06,272,10240
push,846,1442830.343823028,1442830.343827346,4.387926310300827e-06,272,10240
push,940,1442830.368436226,1442830.368445183,9.047100320458412e-06,272,10240
push,940,1442830.368446646,1442830.368450713,4.146946594119072e-06,272,10240
push,1034,1442830.379802965,1442830.379811821,8.935807272791862e-06,272,10240
push,1034,1442830.379813054,1442830.379816931,3.956956788897514e-06,272,10240
push,1128,1442830.411812094,1442830.41182072,8.695991709828377e-06,272,10240
push,1128,1442830.411821952,1442830.41182599,4.127854481339455e-06,272,10240
push,1222,1442830.443817265,1442830.443826062,8.866889402270317e-06,272,10240
push,1222,1442830.443827334,1442830.443831342,4.087807610630989e-06,272,10240
push,1316,1442830.46848717,1442830.468495756,8.655944839119911e-06,272,10240
push,1316,1442830.468497018,1442830.468500946,3.997934982180595e-06,272,10240
push,1410,1442830.479806781,1442830.479815477,8.756062015891075e-06,272,10240
