type,projection_id,start,stop,duration,metadata_size,data_size
push,0,1443371.648443156,1443371.64847202,2.9075192287564278e-05,272,20480
push,94,1443371.680264402,1443371.680275092,1.0800082236528397e-05,272,20480
push,188,1443371.712266837,1443371.712277356,1.0618939995765686e-05,272,20480
push,282,1443371.744196555,1443371.744206474,1.002894714474678e-05,272,20480
flush_after,282,1443371.744211173,1443371.8080598,0.06384907802566886,1088,81920
push,376,1443374.09630209,1443374.09631773,1.6080914065241814e-05,272,20480
push,470,1443374.124242125,1443374.124252033,9.997980669140816e-06,272,20480
push,564,1443374.156248928,1443374.156258877,1.002894714474678e-05,272,20480
push,658,1443374.176212789,1443374.176222067,9.347917512059212e-06,272,20480
flush_after,658,1443374.17622361,1443374.256059368,0.07983613898977637,1088,81920
push,752,1443376.552303479,1443376.552317966,1.4626886695623398e-05,272,20480
push,846,1443376.55747462,1443376.557484308,9.748153388500214e-06,272,20480
push,940,1443376.58820064,1443376.588210258,9.699026122689247e-06,272,20480
push,1034,1443376.620170435,1443376.620179271,8.936040103435516e-06,272,20480
flush_after,1034,1443376.620180864,1443376.644071983,0.023891490185633302,1088,81920
push,1128,1443379.020275504,1443379.020290392,1.498800702393055e-05,272,20480
push,1222,1443379.045539038,1443379.045548525,9.567942470312119e-06,272,20480
push,1316,1443379.056193325,1443379.056202612,9.367009624838829e-06,272,20480
push,1410,1443379.088187725,1443379.088196962,9.316951036453247e-06,272,20480
flush_after,1410,1443379.088198495,1443379.152060207,0.06386205181479454,1088,81920
push,1,1443381.4682629,1443381.468276996,1.4186138287186623e-05,272,20480
push,95,1443381.500216653,1443381.500226331,9.767943993210793e-06,272,20480
push,189,1443381.520235137,1443381.520244545,9.497860446572304e-06,272,20480
push,283,1443381.536171002,1443381.536179738,8.835922926664352e-06,272,20480
flush_after,283,1443381.536181301,1443381.600061257,0.06388026685453951,1088,81920
push,377,1443383.916272526,1443383.916287193,1.477799378335476e-05,272,20480
push,471,1443383.94821034,1443383.948220128,9.868061169981956e-06,272,20480
push,565,1443383.968232861,1443383.968242279,9.50787216424942e-06,272,20480
push,659,1443383.984166993,1443383.984175649,8.765840902924538e-06,272,20480
flush_after,659,1443383.984177242,1443384.032059457,0.047882565995678306,1088,81920
push,753,1443386.36827374,1443386.368288408,1.4767982065677643e-05,272,20480
push,847,1443386.400199813,1443386.4002092,9.466893970966339e-06,272,20480
push,941,1443386.432197569,1443386.432207027,9.54815186560154e-06,272,20480
push,1035,1443386.476184667,1443386.476193604,9.036855772137642e-06,272,20480
flush_after,1035,1443386.476195177,1443386.556058928,0.07986408099532127,1088,81920
push,1129,1443388.81625826,1443388.81627392,1.574005000293255e-05,272,20480
push,1223,1443388.84819909,1443388.848208528,9.498093277215958e-06,272,20480
push,1317,1443388.880195944,1443388.880205663,9.78889875113964e-06,272,20480
push,1411,1443388.912166851,1443388.912175457,8.675968274474144e-06,272,20480
flush_after,1411,1443388.91217704,1443388.976058789,0.06388210994191468,1088,81920
push,2,1443391.264241718,1443391.264256135,1.4496967196464539e-05,272,20480
push,96,1443391.29219641,1443391.292205647,9.316951036453247e-06,272,20480
push,190,1443391.312233218,1443391.312243116,9.967945516109467e-06,272,20480
push,284,1443391.328174814,1443391.328183921,9.206822142004967e-06,272,20480
flush_after,284,1443391.328185464,1443391.39206051,0.06387536693364382,1088,81920
push,378,1443393.724245315,1443393.72425868,1.343502663075924e-05,272,20480
push,472,1443393.756196854,1443393.756206452,9.678071364760399e-06,272,20480
push,566,1443393.792195656,1443393.792205485,9.908806532621384e-06,272,20480
push,660,1443393.793484234,1443393.79349298,8.835922926664352e-06,272,20480
flush_after,660,1443393.793494443,1443393.816070805,0.02257660310715437,1088,81920
push,754,1443396.168255589,1443396.168270086,1.457706093788147e-05,272,20480
push,848,1443396.200196228,1443396.200206397,1.0258983820676804e-05,272,20480
push,942,1443396.232196589,1443396.232206337,9.838957339525223e-06,272,20480
push,1036,1443396.264195598,1443396.264204975,9.487150236964226e-06,272,20480
flush_after,1036,1443396.264206608,1443396.288072339,0.02386600198224187,1088,81920
push,1130,1443398.620269077,1443398.620283934,1.4948192983865738e-05,272,20480
push,1224,1443398.65219631,1443398.652205447,9.217998012900352e-06,272,20480
push,1318,1443398.688196946,1443398.688206404,9.54815186560154e-06,272,20480
push,1412,1443398.689503126,1443398.689511732,8.716946467757225e-06,272,20480
flush_after,1412,1443398.689513355,1443398.712072125,0.02255910006351769,1088,81920
push,3,1443401.064262519,1443401.064277116,1.4677178114652634e-05,272,20480
push,97,1443401.096195473,1443401.096204851,9.457813575863838e-06,272,20480
push,191,1443401.128205323,1443401.128215121,9.898096323013306e-06,272,20480
