type,projection_id,start,stop,duration,metadata_size,data_size
push,0,1443518.23142203,1443518.231452497,3.061816096305847e-05,272,20480
push,94,1443518.247222283,1443518.247232793,1.0620104148983955e-05,272,20480
push,188,1443518.311216558,1443518.311227218,1.0769814252853394e-05,272,20480
push,282,1443518.331693341,1443518.331702448,9.20705497264862e-06,272,20480
push,376,1443518.347192718,1443518.347202807,1.0209158062934875e-05,272,20480
push,470,1443518.379197655,1443518.379207223,9.64803621172905e-06,272,20480
push,564,1443518.411301878,1443518.411311246,9.458046406507492e-06,272,20480
push,658,1443518.431736402,1443518.431745279,8.946983143687248e-06,272,20480
push,752,1443518.44717259,1443518.447181748,9.277835488319397e-06,272,20480
push,846,1443518.479149795,1443518.479158652,8.937204256653786e-06,272,20480
push,940,1443518.511159581,1443518.511168077,8.607050403952599e-06,272,20480
push,1034,1443518.53176662,1443518.531775216,8.695991709828377e-06,272,20480
push,1128,1443518.547156461,1443518.547165137,8.765840902924538e-06,272,20480
push,1222,1443518.579158893,1443518.579167499,8.675968274474144e-06,272,20480
push,1316,1443518.611162257,1443518.611171094,8.917180821299553e-06,272,20480
push,1410,1443518.631816624,1443518.631825441,8.906936272978783e-06,272,20480
push,1,1443518.647157192,1443518.64716661,9.508104994893074e-06,272,20480
push,95,1443518.679153273,1443518.67916255,9.347917512059212e-06,272,20480
push,189,1443518.711171004,1443518.711180091,9.156996384263039e-06,272,20480
push,283,1443518.731875035,1443518.731883711,8.746050298213959e-06,272,20480
push,377,1443518.747149428,1443518.747157884,8.526025339961052e-06,272,20480
push,471,1443518.779161799,1443518.779170866,9.136972948908806e-06,272,20480
push,565,1443518.811159302,1443518.811167778,8.556060492992401e-06,272,20480
push,659,1443518.831918757,1443518.831927323,8.646165952086449e-06,272,20480
push,753,1443518.847160019,1443518.847168675,8.726026862859726e-06,272,20480
push,847,1443518.879168853,1443518.879177649,8.877133950591087e-06,272,20480
push,941,1443518.911156738,1443518.911165304,8.636154234409332e-06,272,20480
push,1035,1443518.931979362,1443518.931987758,8.456176146864891e-06,272,20480
push,1129,1443518.947148818,1443518.947157364,8.615897968411446e-06,272,20480
push,1223,1443518.979156059,1443518.979164636,8.647097274661064e-06,272,20480
push,1317,1443519.00319153,1443519.003200316,8.875969797372818e-06,272,20480
push,1411,1443519.015145835,1443519.015154551,8.786097168922424e-06,272,20480
push,2,1443519.047153026,1443519.047162915,9.958865121006966e-06,272,20480
