type,index,start,stop,duration,metadata_size,data_size
push,0,2553912.202519705,2553912.202652855,0.00013338075950741768,184,20540
push,94,2553912.802722579,2553912.802779036,5.67571260035038e-05,184,20548
push,188,2553913.402849381,2553913.402862766,1.3615936040878296e-05,184,20548
push,282,2553914.002924196,2553914.002935888,1.1811964213848114e-05,184,20548
flush_after,282,2553914.002938512,2553914.050789954,0.04785182327032089,736,82192
push,376,2553914.650856102,2553914.65087621,2.025812864303589e-05,184,20548
push,470,2553915.250937308,2553915.25094901,1.1811964213848114e-05,184,20548
push,564,2553915.85101123,2553915.851025507,1.436704769730568e-05,184,20548
push,658,2553916.451092968,2553916.451107115,1.4276709407567978e-05,184,20548
flush_after,658,2553916.451110331,2553916.498788777,0.04767883708700538,736,82192
push,752,2553917.098854234,2553917.09887316,1.9055791199207306e-05,184,20548
push,846,2553917.698937153,2553917.69895159,1.4528166502714157e-05,184,20548
push,940,2553918.299013039,2553918.299027266,1.436704769730568e-05,184,20548
push,1034,2553918.899089457,2553918.899102431,1.3084150850772858e-05,184,20548
flush_after,1034,2553918.899105357,2553918.946788682,0.04768358590081334,736,82192
push,1128,2553919.546852907,2553919.546871201,1.8395017832517624e-05,184,20548
push,1222,2553920.146934213,2553920.146950844,1.6751699149608612e-05,184,20548
push,1316,2553920.747014678,2553920.747029335,1.4727003872394562e-05,184,20548
push,1410,2553921.347092708,2553921.347107977,1.5428755432367325e-05,184,20548
flush_after,1410,2553921.347110532,2553921.394788447,0.047678155824542046,736,82192
push,1,2553921.994853373,2553921.994872449,1.9185710698366165e-05,184,20548
push,95,2553922.594935962,2553922.59494559,9.71788540482521e-06,184,20548
push,189,2553923.195005726,2553923.195019863,1.4246907085180283e-05,184,20548
push,283,2553923.795080871,2553923.795093165,1.2353993952274323e-05,184,20548
flush_after,283,2553923.795095268,2553923.842788283,0.04769327491521835,736,82192
push,377,2553924.442854551,2553924.44287008,1.5618745237588882e-05,184,20548
push,471,2553925.042930918,2553925.042945786,1.4948192983865738e-05,184,20548
push,565,2553925.643008246,2553925.643019067,1.0920688509941101e-05,184,20548
push,659,2553926.243079244,2553926.243089964,1.0809861123561859e-05,184,20548
flush_after,659,2553926.243092729,2553926.290788068,0.04769566934555769,736,82192
push,753,2553926.890852593,2553926.890872009,1.9496306777000427e-05,184,20548
push,847,2553927.49093466,2553927.490948747,1.4157034456729889e-05,184,20548
push,941,2553928.091009855,2553928.091023621,1.3865996152162552e-05,184,20548
push,1035,2553928.691086763,2553928.6911012,1.4516990631818771e-05,184,20548
flush_after,1035,2553928.691104145,2553928.738789886,0.047686062287539244,736,82192
push,1129,2553929.338855042,2553929.338871303,1.6320962458848953e-05,184,20548
push,1223,2553929.938933503,2553929.938949103,1.5770085155963898e-05,184,20548
push,1317,2553930.539011183,2553930.539027193,1.6110017895698547e-05,184,20548
push,1411,2553931.139089273,2553931.13910374,1.4567282050848007e-05,184,20548
flush_after,1411,2553931.139106906,2553931.186788128,0.04768151277676225,736,82192
push,2,2553931.786853915,2553931.786871729,1.7893966287374496e-05,184,20548
push,96,2553932.38693432,2553932.386948517,1.4297198504209518e-05,184,20548
push,190,2553932.987011198,2553932.987027769,1.6712117940187454e-05,184,20548
push,284,2553933.587091382,2553933.58710619,1.4887657016515732e-05,184,20548
flush_after,284,2553933.587108595,2553933.634788184,0.047679920215159655,736,82192
push,378,2553934.234855273,2553934.234873377,1.8195249140262604e-05,184,20548
push,472,2553934.834935678,2553934.834948903,1.3284850865602493e-05,184,20548
push,566,2553935.435011695,2553935.435026072,1.4456920325756073e-05,184,20548
push,660,2553936.035088121,2553936.035105234,1.721316948533058e-05,184,20548
flush_after,660,2553936.03510845,2553936.082788139,0.04767999006435275,736,82192
push,754,2553936.682855038,2553936.682872591,1.7642974853515625e-05,184,20548
push,848,2553937.282934011,2553937.282947266,1.3344921171665192e-05,184,20548
push,942,2553937.883009606,2553937.883020406,1.0880175977945328e-05,184,20548
push,1036,2553938.483081805,2553938.483097695,1.5969853848218918e-05,184,20548
flush_after,1036,2553938.48310043,2553938.530788385,0.047688265796750784,736,82192
push,1130,2553939.130854613,2553939.130871244,1.6730744391679764e-05,184,20548
push,1224,2553939.730933836,2553939.730944746,1.1070631444454193e-05,184,20548
push,1318,2553940.331005474,2553940.331018819,1.3425014913082123e-05,184,20548
push,1412,2553940.93108174,2553940.931096919,1.5278812497854233e-05,184,20548
flush_after,1412,2553940.931099253,2553940.97878833,0.04768932843580842,736,82192
push,3,2553941.578855239,2553941.578874466,1.933705061674118e-05,184,20548
push,97,2553942.178937497,2553942.178952035,1.4658086001873016e-05,184,20548
push,191,2553942.779016921,2553942.779029254,1.2433156371116638e-05,184,20548
push,285,2553943.379091073,2553943.379103557,1.2584030628204346e-05,184,20548
flush_after,285,2553943.379106111,2553943.426791241,0.04768538102507591,736,82192
push,379,2553944.02685793,2553944.026872597,1.4788005501031876e-05,184,20548
push,473,2553944.626933485,2553944.626943935,1.055002212524414e-05,184,20548
push,567,2553945.227010283,2553945.227021584,1.1420808732509613e-05,184,20548
push,661,2553945.82708159,2553945.827090817,9.29785892367363e-06,184,20548
flush_after,661,2553945.82709229,2553945.874788751,0.04769669193774462,736,82192
push,755,2553946.474851963,2553946.474868605,1.6751699149608612e-05,184,20548
push,849,2553947.074929553,2553947.074939452,9.988900274038315e-06,184,20548
push,943,2553947.675001351,2553947.675014656,1.3415701687335968e-05,184,20548
push,1037,2553948.275076887,2553948.275088719,1.192186027765274e-05,184,20548
flush_after,1037,2553948.275091063,2553948.322789398,0.04769852478057146,736,82192
push,1131,2553948.922854564,2553948.922874471,2.0076986402273178e-05,184,20548
push,1225,2553949.522936792,2553949.522950858,1.4165882021188736e-05,184,20548
push,1319,2553950.12301401,2553950.123025111,1.1170748621225357e-05,184,20548
push,1413,2553950.72308667,2553950.723099715,1.3125129044055939e-05,184,20548
flush_after,1413,2553950.723101899,2553950.770789323,0.04768761387094855,736,82192
push,4,2553951.370854659,2553951.370874316,1.9777100533246994e-05,184,20548
push,98,2553951.970936006,2553951.970949841,1.3916287571191788e-05,184,20548
push,192,2553952.5710111,2553952.57102711,1.613004133105278e-05,184,20548
push,286,2553953.171088749,2553953.171102585,1.3966113328933716e-05,184,20548
flush_after,286,2553953.171104539,2553953.218788927,0.04768455866724253,736,82192
push,380,2553953.81885764,2553953.818873349,1.5778932720422745e-05,184,20548
