type,size,duration
Push,26214400,3.1028e-05
Flush,26214400,0.0641437
Push,26214400,1.3025e-05
Flush,26214400,0.0914344
Push,26214400,8.957e-06
Flush,26214400,0.0386511
Push,26214400,1.0369e-05
Flush,26214400,0.0687989
Push,26214400,1.1832e-05
Flush,26214400,0.0784141
Push,26214400,1.4057e-05
Flush,26214400,0.0624642
Push,26214400,1.2433e-05
Flush,26214400,0.0746627
Push,26214400,9.218e-06
Flush,26214400,0.108215
Push,26214400,1.3776e-05
Flush,26214400,0.0942964
Push,26214400,1.3054e-05
Flush,26214400,0.0663272
Push,26214400,1.3656e-05
Flush,26214400,0.0743167
Push,26214400,1.7563e-05
Flush,26214400,0.0584755
Push,26214400,7.724e-06
Flush,26214400,0.0560873
Push,26214400,1.1542e-05
Flush,26214400,0.0664841
Push,26214400,1.1581e-05
Flush,26214400,0.0648748
Push,26214400,9.117e-06
Flush,26214400,0.14257
Push,26214400,1.3395e-05
Flush,26214400,0.0622734
Push,26214400,1.2884e-05
Flush,26214400,0.0771802
Push,26214400,1.2123e-05
Flush,26214400,0.0857445
Push,26214400,1.3546e-05
Flush,26214400,0.0778214
Push,26214400,7.835e-06
Flush,26214400,0.106361
Push,26214400,1.2734e-05
Flush,26214400,0.0841764
Push,26214400,1.3415e-05
Flush,26214400,0.0624894
Push,26214400,1.2093e-05
Flush,26214400,0.0823621
Push,26214400,1.3315e-05
Flush,26214400,0.0916407
Push,26214400,1.3385e-05
Flush,26214400,0.0783928
Push,26214400,1.1842e-05
Flush,26214400,0.0566867
Push,26214400,8.607e-06
Flush,26214400,0.0540143
Push,26214400,7.915e-06
Flush,26214400,0.0824382
Push,26214400,1.3876e-05
Flush,26214400,0.110266
Push,26214400,1.2313e-05
Flush,26214400,0.0824463
Push,26214400,1.3435e-05
Flush,26214400,0.246426
Push,26214400,0.0146994
Flush,26214400,0.065342
Push,26214400,1.1672e-05
Flush,26214400,0.0623988
Push,26214400,1.0981e-05
Flush,26214400,0.0623127
Push,26214400,1.074e-05
Flush,26214400,0.0344968
Push,26214400,5.781e-06
Flush,26214400,0.0268184
Push,26214400,1.083e-05
Flush,26214400,0.062372
Push,26214400,1.037e-05
Flush,26214400,0.0782614
Push,26214400,1.2534e-05
Flush,26214400,0.0584803
Push,26214400,1.2503e-05
Flush,26214400,0.0662957
Push,26214400,1.1852e-05
Flush,26214400,0.0264649
Push,26214400,1.3575e-05
Flush,26214400,0.0704023
Push,26214400,1.1211e-05
Flush,26214400,0.0395275
Push,26214400,9.127e-06
Flush,26214400,0.0824056
Push,26214400,1.2153e-05
Flush,26214400,0.062514
Push,26214400,1.4227e-05
Flush,26214400,0.0824308
Push,26214400,1.2053e-05
Flush,26214400,0.062429
Push,26214400,1.2253e-05
Flush,26214400,0.082394
Push,26214400,1.1842e-05
Flush,26214400,0.0942847
Push,26214400,1.2213e-05
Flush,26214400,0.0863898
Push,26214400,1.2263e-05
Flush,26214400,0.0664927
Push,26214400,1.1642e-05
Flush,26214400,0.0783975
Push,26214400,1.2724e-05
Flush,26214400,0.0625146
Push,26214400,9.969e-06
Flush,26214400,0.0265064
Push,26214400,1.2744e-05
Flush,26214400,0.0864467
Push,26214400,1.095e-05
Flush,26214400,0.0856198
Push,26214400,1.067e-05
Flush,26214400,0.0644464
Push,26214400,7.344e-06
Flush,26214400,0.0786431
Push,26214400,1.1652e-05
Flush,26214400,0.0801444
Push,26214400,1.2023e-05
Flush,26214400,0.0625099
Push,26214400,7.624e-06
Flush,26214400,0.0584552
Push,26214400,1.2514e-05
Flush,26214400,0.0941532
Push,26214400,1.2643e-05
Flush,26214400,0.402371
Push,26214400,8.296e-06
Flush,26214400,0.0882789
Push,26214400,8.877e-06
Flush,26214400,0.0784156
Push,26214400,8.306e-06
Flush,26214400,0.090525
Push,26214400,1.3446e-05
Flush,26214400,0.0664038
Push,26214400,1.4167e-05
Flush,26214400,0.0423713
Push,26214400,1.2994e-05
Flush,26214400,0.0624409
Push,26214400,1.1993e-05
Flush,26214400,0.078222
Push,26214400,1.3195e-05
Flush,26214400,0.0624121
Push,26214400,1.2904e-05
Flush,26214400,0.0984868
Push,26214400,1.0239e-05
Flush,26214400,0.0906895
Push,26214400,1.1601e-05
Flush,26214400,0.0664189
Push,26214400,1.2213e-05
Flush,26214400,0.0744143
Push,26214400,1.2113e-05
Flush,26214400,0.0784895
Push,26214400,8.346e-06
Flush,26214400,0.0942237
Push,26214400,1.2854e-05
Flush,26214400,0.0885964
Push,26214400,1.1672e-05
Flush,26214400,0.0816724
Push,26214400,1.1461e-05
Flush,26214400,0.122368
Push,26214400,1.1502e-05
Flush,26214400,0.0840298
Push,26214400,1.1532e-05
Flush,26214400,0.0622174
Push,26214400,1.3245e-05
Flush,26214400,0.0942975
Push,26214400,1.4236e-05
Flush,26214400,0.0652979
Push,26214400,1.3124e-05
Flush,26214400,0.0624311
Push,26214400,1.4978e-05
Flush,26214400,0.0778472
Push,26214400,1.2173e-05
Flush,26214400,0.0864236
Push,26214400,1.071e-05
Flush,26214400,0.084431
Push,26214400,1.1311e-05
Flush,26214400,0.0983699
Push,26214400,1.2133e-05
Flush,26214400,0.0695431
Push,26214400,1.1171e-05
Flush,26214400,0.0744172
Push,26214400,1.1522e-05
Flush,26214400,0.0752667
Push,26214400,1.2504e-05
Flush,26214400,0.106476
Flush,0,3.567e-06
