type,projection_id,start,stop,duration,metadata_size,data_size
push,0,1607054.74043144,1607054.740455385,2.4064909666776657e-05,272,10240
push,0,1607054.740460054,1607054.740473549,1.361500471830368e-05,272,10240
flush_after,0,1607054.740476384,1607054.847519798,0.10704386397264898,544,20480
push,94,1607055.391700546,1607055.39171332,1.2893928214907646e-05,272,10240
push,94,1607055.391715925,1607055.391721926,6.1211176216602325e-06,272,10240
flush_after,94,1607055.39172411,1607055.495517776,0.10379402595572174,544,20480
push,188,1607056.03968071,1607056.039692953,1.2352829799056053e-05,272,10240
push,188,1607056.039697141,1607056.039703503,6.4820051193237305e-06,272,10240
flush_after,188,1607056.039705998,1607056.147517753,0.1078121259342879,544,20480
push,282,1607056.687691021,1607056.687702603,1.1662021279335022e-05,272,10240
push,282,1607056.687704306,1607056.687710017,5.810987204313278e-06,272,10240
flush_after,282,1607056.687711149,1607056.795518025,0.10780716710723937,544,20480
push,376,1607057.335676696,1607057.335688238,1.1631986126303673e-05,272,10240
push,376,1607057.335689971,1607057.335695652,5.780952051281929e-06,272,10240
flush_after,376,1607057.335696894,1607057.443518858,0.1078222650103271,544,20480
push,470,1607057.979708402,1607057.979720124,1.1831987649202347e-05,272,10240
push,470,1607057.979721557,1607057.979726817,5.359994247555733e-06,272,10240
flush_after,470,1607057.979727929,1607058.051517142,0.0717894930858165,544,20480
push,564,1607058.631665739,1607058.63167682,1.1191004887223244e-05,272,10240
push,564,1607058.631678343,1607058.631683843,5.600042641162872e-06,272,10240
flush_after,564,1607058.631684995,1607058.739516658,0.10783200291916728,544,20480
push,658,1607059.279675139,1607059.27968666,1.1620810255408287e-05,272,10240
push,658,1607059.279688283,1607059.279693814,5.620997399091721e-06,272,10240
flush_after,658,1607059.279694936,1607059.38751677,0.10782213392667472,544,20480
push,752,1607059.927668047,1607059.927679929,1.1993106454610825e-05,272,10240
push,752,1607059.927681522,1607059.927687213,5.800975486636162e-06,272,10240
flush_after,752,1607059.927688545,1607060.043519277,0.11583609180524945,544,20480
push,846,1607060.575661967,1607060.575673218,1.1331867426633835e-05,272,10240
push,846,1607060.575674671,1607060.57567923,4.648929461836815e-06,272,10240
flush_after,846,1607060.575680262,1607060.683517665,0.1078377440571785,544,20480
push,940,1607061.223658042,1607061.223669082,1.1120922863483429e-05,272,10240
push,940,1607061.223670595,1607061.223675845,5.3399708122015e-06,272,10240
flush_after,940,1607061.223676997,1607061.331517336,0.10784058994613588,544,20480
push,1034,1607061.871659516,1607061.871671038,1.1602183803915977e-05,272,10240
push,1034,1607061.871672591,1607061.871677761,5.24008646607399e-06,272,10240
flush_after,1034,1607061.871678742,1607061.979578472,0.10790001088753343,544,20480
push,1128,1607062.519657144,1607062.519668936,1.1881813406944275e-05,272,10240
push,1128,1607062.519670328,1607062.519675378,5.170004442334175e-06,272,10240
flush_after,1128,1607062.51967647,1607062.627516598,0.10784048913046718,544,20480
push,1222,1607063.167664369,1607063.167675349,1.106085255742073e-05,272,10240
push,1222,1607063.167676802,1607063.167682092,5.390029400587082e-06,272,10240
flush_after,1222,1607063.167683234,1607063.275517131,0.10783419711515307,544,20480
push,1316,1607063.851654601,1607063.851665241,1.0719988495111465e-05,272,10240
push,1316,1607063.851666644,1607063.851671603,5.058944225311279e-06,272,10240
flush_after,1316,1607063.851672986,1607063.95951617,0.10784349497407675,544,20480
push,1410,1607064.499661616,1607064.499672497,1.096096821129322e-05,272,10240
push,1410,1607064.49967412,1607064.49967971,5.699926987290382e-06,272,10240
flush_after,1410,1607064.499680882,1607064.635517313,0.13583684200420976,544,20480
push,1,1607065.135934448,1607065.135946781,1.2402888387441635e-05,272,10240
push,1,1607065.135948204,1607065.135953333,5.2300747483968735e-06,272,10240
flush_after,1,1607065.135954405,1607065.263516359,0.12756226398050785,544,20480
push,95,1607065.795659831,1607065.795670571,1.0811025276780128e-05,272,10240
push,95,1607065.795671984,1607065.795676493,4.598870873451233e-06,272,10240
flush_after,95,1607065.795677484,1607065.903517555,0.10784039204008877,544,20480
push,189,1607066.447667384,1607066.447679788,1.2493925169110298e-05,272,10240
push,189,1607066.44768114,1607066.44768646,5.4300762712955475e-06,272,10240
