type,index,start,stop,duration,metadata_size,data_size
push,0,1258439.128890102,1258439.128956747,6.687501445412636e-05,184,20540
push,94,1258439.729026756,1258439.729057734,3.1257979571819305e-05,184,20548
push,188,1258440.329123995,1258440.329140376,1.6520963981747627e-05,184,20548
push,282,1258440.929204965,1258440.929222538,1.771305687725544e-05,184,20548
push,376,1258441.529286826,1258441.529302695,1.6059959307312965e-05,184,20548
push,470,1258442.129367544,1258442.129384176,1.695193350315094e-05,184,20548
push,564,1258442.729450978,1258442.729465976,1.512886956334114e-05,184,20548
push,658,1258443.329536887,1258443.329553899,1.720222644507885e-05,184,20548
push,752,1258443.929618477,1258443.929638345,1.9998056814074516e-05,184,20548
push,846,1258444.52970117,1258444.529715457,1.4377059414982796e-05,184,20548
push,940,1258445.129778512,1258445.129795715,1.729303039610386e-05,184,20548
push,1034,1258445.72985868,1258445.72987455,1.5980098396539688e-05,184,20548
push,1128,1258446.329936133,1258446.329952453,1.640990376472473e-05,184,20548
push,1222,1258446.930014607,1258446.930029195,1.4667864888906479e-05,184,20548
push,1316,1258447.530092471,1258447.530106186,1.3774959370493889e-05,184,20548
push,1410,1258448.130167148,1258448.130183198,1.6129808500409126e-05,184,20548
push,1,1258448.730245903,1258448.730266331,2.0499108359217644e-05,184,20548
push,95,1258449.330331521,1258449.330345988,1.45668163895607e-05,184,20548
push,189,1258449.930410204,1258449.930424191,1.4236895367503166e-05,184,20548
push,283,1258450.530486963,1258450.530502302,1.553911715745926e-05,184,20548
push,377,1258451.130565414,1258451.130580343,1.502898521721363e-05,184,20548
push,471,1258451.730642294,1258451.730658614,1.6411067917943e-05,184,20548
push,565,1258452.330721256,1258452.330734641,1.3515818864107132e-05,184,20548
push,659,1258452.93079515,1258452.930808375,1.3324897736310959e-05,184,20548
push,753,1258453.530870626,1258453.530885835,1.5309080481529236e-05,184,20548
push,847,1258454.130948386,1258454.130963665,1.5369150787591934e-05,184,20548
push,941,1258454.731026518,1258454.731042428,1.5980098396539688e-05,184,20548
push,1035,1258455.331105501,1258455.33112139,1.5990110114216805e-05,184,20548
push,1129,1258455.931185075,1258455.931201486,1.648091711103916e-05,184,20548
push,1223,1258456.53126555,1258456.531283264,1.7783837392926216e-05,184,20548
push,1317,1258457.131354202,1258457.131371084,1.695193350315094e-05,184,20548
push,1411,1258457.731434868,1258457.731447642,1.2933975085616112e-05,184,20548
push,2,1258458.331510704,1258458.331532986,2.2382009774446487e-05,184,20548
push,96,1258458.931597432,1258458.931614574,1.7253216356039047e-05,184,20548
push,190,1258459.531677457,1258459.5316953,1.794286072254181e-05,184,20548
push,284,1258460.131758203,1258460.131775125,1.6991980373859406e-05,184,20548
push,378,1258460.731838629,1258460.73185515,1.667090691626072e-05,184,20548
push,472,1258461.331918964,1258461.331934413,1.5579164028167725e-05,184,20548
push,566,1258461.931969824,1258461.931986385,1.664087176322937e-05,184,20548
push,660,1258462.532049197,1258462.532065779,1.667207106947899e-05,184,20548
push,754,1258463.132131567,1258463.132148238,1.67719554156065e-05,184,20548
push,848,1258463.732212433,1258463.732229235,1.688208431005478e-05,184,20548
push,942,1258464.332291988,1258464.332306906,1.5008030459284782e-05,184,20548
push,1036,1258464.93237066,1258464.9323867,1.616007648408413e-05,184,20548
push,1130,1258465.532450273,1258465.532465452,1.526903361082077e-05,184,20548
push,1224,1258466.132528185,1258466.132544075,1.5960074961185455e-05,184,20548
push,1318,1258466.73260846,1258466.732622676,1.4307210221886635e-05,184,20548
push,1412,1258467.332684618,1258467.332697742,1.3214070349931717e-05,184,20548
push,3,1258467.932762318,1258467.932776825,1.4596851542592049e-05,184,20548
push,97,1258468.532839467,1258468.532856229,1.6832025721669197e-05,184,20548
push,191,1258469.132919502,1258469.13293437,1.49579718708992e-05,184,20548
push,285,1258469.732997202,1258469.733013533,1.6420846804976463e-05,184,20548
push,379,1258470.333076907,1258470.333093288,1.646089367568493e-05,184,20548
push,473,1258470.933165077,1258470.933179805,1.4798017218708992e-05,184,20548
push,567,1258471.533241946,1258471.533259288,1.7412938177585602e-05,184,20548
push,661,1258472.133323514,1258472.133337891,1.4467164874076843e-05,184,20548
push,755,1258472.733399711,1258472.733416202,1.6580801457166672e-05,184,20548
push,849,1258473.333479676,1258473.333495466,1.5930039808154106e-05,184,20548
push,943,1258473.933561163,1258473.933580891,1.980806700885296e-05,184,20548
push,1037,1258474.533644335,1258474.533662719,1.846393570303917e-05,184,20548
push,1131,1258475.133731142,1258475.133746681,1.5659024938941002e-05,184,20548
push,1225,1258475.733810445,1258475.733827127,1.6761943697929382e-05,184,20548
push,1319,1258476.333891021,1258476.333904717,1.3765878975391388e-05,184,20548
push,1413,1258476.933966908,1258476.933981195,1.4357035979628563e-05,184,20548
push,4,1258477.534043677,1258477.534060499,1.6912119463086128e-05,184,20548
push,98,1258478.134122339,1258478.134135314,1.3045035302639008e-05,184,20548
push,192,1258478.734195741,1258478.734208616,1.3005221262574196e-05,184,20548
push,286,1258479.334270397,1258479.334284874,1.454702578485012e-05,184,20548
push,380,1258479.934348207,1258479.934363205,1.506810076534748e-05,184,20548
push,474,1258480.534425036,1258480.534439002,1.4036893844604492e-05,184,20548
push,568,1258481.134501805,1258481.134517254,1.552887260913849e-05,184,20548
push,662,1258481.734580808,1258481.734596878,1.614983193576336e-05,184,20548
push,756,1258482.334660201,1258482.334677644,1.7522834241390228e-05,184,20548
push,850,1258482.934744283,1258482.934757138,1.292489469051361e-05,184,20548
push,944,1258483.53481948,1258483.53483535,1.6320031136274338e-05,184,20548
push,1038,1258484.134899123,1258484.134922277,2.3303786292672157e-05,184,20548
push,1132,1258484.734988917,1258484.735008454,1.965719275176525e-05,184,20548
push,1226,1258485.335073941,1258485.335090162,1.636100932955742e-05,184,20548
push,1320,1258485.935152613,1258485.935168663,1.6140984371304512e-05,184,20548
push,1414,1258486.535232147,1258486.535247556,1.5540048480033875e-05,184,20548
push,5,1258487.135313575,1258487.135331779,1.8284190446138382e-05,184,20548
push,99,1258487.735404921,1258487.735421372,1.661200076341629e-05,184,20548
push,193,1258488.335485397,1258488.335502769,1.74730084836483e-05,184,20548
push,287,1258488.935567716,1258488.935589367,2.1741027012467384e-05,184,20548
push,381,1258489.535655736,1258489.535675824,2.0158011466264725e-05,184,20548
push,475,1258490.135739688,1258490.135757121,1.754285767674446e-05,184,20548
push,569,1258490.735821076,1258490.735840101,1.9106082618236542e-05,184,20548
push,663,1258491.335902884,1258491.335919395,1.6611069440841675e-05,184,20548
push,757,1258491.935968652,1258491.935984331,1.603015698492527e-05,184,20548
push,851,1258492.536056447,1258492.536073348,1.6981037333607674e-05,184,20548
push,945,1258493.136137251,1258493.136156547,1.936592161655426e-05,184,20548
push,1039,1258493.736221773,1258493.736235619,1.391582190990448e-05,184,20548
push,1133,1258494.336301396,1258494.33631934,1.8064165487885475e-05,184,20548
push,1227,1258494.936382472,1258494.936399524,1.722201704978943e-05,184,20548
push,1321,1258495.536464208,1258495.536481601,1.74730084836483e-05,184,20548
push,1415,1258496.136544512,1258496.136563929,1.949700526893139e-05,184,20548
push,6,1258496.736628884,1258496.736644052,1.5319092199206352e-05,184,20548
push,100,1258497.336706172,1258497.336721691,1.560896635055542e-05,184,20548
push,194,1258497.936784442,1258497.936798258,1.3957032933831215e-05,184,20548
push,288,1258498.536861751,1258498.536879083,1.743203029036522e-05,184,20548
push,382,1258499.136942605,1258499.136964717,2.2281892597675323e-05,184,20548
push,476,1258499.737032678,1258499.737051604,1.9015977159142494e-05,184,20548
push,570,1258500.337115767,1258500.337135254,1.960713416337967e-05,184,20548
push,664,1258500.937199888,1258500.937217892,1.8103979527950287e-05,184,20548
push,758,1258501.537281956,1258501.537302845,2.102903090417385e-05,184,20548
push,852,1258502.137369283,1258502.137386886,1.7723068594932556e-05,184,20548
push,946,1258502.737451611,1258502.737468062,1.6590813174843788e-05,184,20548
push,1040,1258503.337531684,1258503.337548596,1.698196865618229e-05,184,20548
push,1134,1258503.937611538,1258503.93763413,2.2701919078826904e-05,184,20548
push,1228,1258504.537697392,1258504.537713913,1.660105772316456e-05,184,20548
push,1322,1258505.137778297,1258505.13779603,1.781294122338295e-05,184,20548
push,1416,1258505.737860344,1258505.737877687,1.743319444358349e-05,184,20548
push,7,1258506.337942121,1258506.337960505,1.8484890460968018e-05,184,20548
push,101,1258506.938025801,1258506.938040779,1.506810076534748e-05,184,20548
push,195,1258507.538102809,1258507.538117306,1.4597782865166664e-05,184,20548
push,289,1258508.138182281,1258508.138198742,1.658196561038494e-05,184,20548
push,383,1258508.738261042,1258508.738277944,1.6971956938505173e-05,184,20548
push,477,1258509.338343421,1258509.338368778,2.5528017431497574e-05,184,20548
push,571,1258509.938435807,1258509.938451367,1.5680212527513504e-05,184,20548
push,665,1258510.538514468,1258510.538530669,1.6301171854138374e-05,184,20548
push,759,1258511.138594572,1258511.138612315,1.7862999811768532e-05,184,20548
push,853,1258511.738676078,1258511.73870359,2.764211967587471e-05,184,20548
push,947,1258512.338768044,1258512.338784916,1.695193350315094e-05,184,20548
push,1041,1258512.938848117,1258512.938866412,1.837499439716339e-05,184,20548
push,1135,1258513.538932189,1258513.538947447,1.5418976545333862e-05,184,20548
push,1229,1258514.13901113,1258514.139030336,1.92960724234581e-05,184,20548
push,1323,1258514.739095882,1258514.73912139,2.558785490691662e-05,184,20548
push,1417,1258515.339185415,1258515.339201476,1.617101952433586e-05,184,20548
push,8,1258515.939268543,1258515.939299943,3.150012344121933e-05,184,20548
push,102,1258516.539362803,1258516.539379885,1.726299524307251e-05,184,20548
push,196,1258517.139444148,1258517.13946133,1.7452985048294067e-05,184,20548
push,290,1258517.73952395,1258517.739542916,1.908605918288231e-05,184,20548
push,384,1258518.339608541,1258518.339622628,1.4187069609761238e-05,184,20548
push,478,1258518.939686811,1258518.939708592,2.1860934793949127e-05,184,20548
push,572,1258519.539776081,1258519.539792081,1.6069971024990082e-05,184,20548
push,666,1258520.139855062,1258520.139873276,1.8304213881492615e-05,184,20548
push,760,1258520.739938711,1258520.739956705,1.8134014680981636e-05,184,20548
push,854,1258521.340024955,1258521.340042087,1.7212936654686928e-05,184,20548
push,948,1258521.940106361,1258521.940125527,1.9256025552749634e-05,184,20548
push,1042,1258522.540189259,1258522.540215048,2.5869114324450493e-05,184,20548
push,1136,1258523.140278409,1258523.140295881,1.755310222506523e-05,184,20548
push,1230,1258523.740361016,1258523.740377257,1.6411067917943e-05,184,20548
push,1324,1258524.340440898,1258524.340460165,1.9357074052095413e-05,184,20548
push,1418,1258524.940526281,1258524.940542893,1.669209450483322e-05,184,20548
push,9,1258525.540605322,1258525.540623225,1.799408346414566e-05,184,20548
push,103,1258526.140687008,1258526.140714389,2.7492176741361618e-05,184,20548
push,197,1258526.740780396,1258526.740795574,1.5339115634560585e-05,184,20548
push,291,1258527.340859016,1258527.340874214,1.5328172594308853e-05,184,20548
push,385,1258527.940944248,1258527.94096087,1.67118851095438e-05,184,20548
push,479,1258528.54102413,1258528.54103983,1.577986404299736e-05,184,20548
push,573,1258529.14110261,1258529.141122578,2.006813883781433e-05,184,20548
push,667,1258529.741188133,1258529.741203743,1.576007343828678e-05,184,20548
push,761,1258530.341266122,1258530.341283996,1.7954036593437195e-05,184,20548
push,855,1258530.941350773,1258530.941369749,1.9046012312173843e-05,184,20548
push,949,1258531.54143326,1258531.541449291,1.6100937500596046e-05,184,20548
push,1043,1258532.141513263,1258532.141529805,1.67719554156065e-05,184,20548
push,1137,1258532.741592965,1258532.741611921,1.9036000594496727e-05,184,20548
push,1231,1258533.341675623,1258533.341703846,2.8302893042564392e-05,184,20548
push,1325,1258533.941769041,1258533.941783217,1.4257151633501053e-05,184,20548
push,1419,1258534.541844815,1258534.541860585,1.5849946066737175e-05,184,20548
push,10,1258535.141923967,1258535.141939596,1.5758909285068512e-05,184,20548
push,104,1258535.742001755,1258535.742017314,1.5628989785909653e-05,184,20548
push,198,1258536.342080595,1258536.342097758,1.7353100702166557e-05,184,20548
push,292,1258536.942162061,1258536.942185084,2.31228768825531e-05,184,20548
push,386,1258537.542248856,1258537.542263023,1.4276942238211632e-05,184,20548
push,480,1258538.142325592,1258538.14234011,1.4608027413487434e-05,184,20548
push,574,1258538.742401157,1258538.742412408,1.133093610405922e-05,184,20548
push,668,1258539.342473896,1258539.342492932,1.9106082618236542e-05,184,20548
push,762,1258539.942556543,1258539.942575609,1.9135884940624237e-05,184,20548
push,856,1258540.542636175,1258540.542650382,1.4296965673565865e-05,184,20548
push,950,1258541.142716819,1258541.142732599,1.5879981219768524e-05,184,20548
push,1044,1258541.742795158,1258541.742810477,1.539895310997963e-05,184,20548
push,1138,1258542.342873077,1258542.34289033,1.7353100702166557e-05,184,20548
push,1232,1258542.942956756,1258542.942972125,1.5479978173971176e-05,184,20548
push,1326,1258543.543034986,1258543.543053902,1.9016209989786148e-05,184,20548
push,1420,1258544.143117854,1258544.143136599,1.885509118437767e-05,184,20548
push,11,1258544.743203036,1258544.743219227,1.627090387046337e-05,184,20548
push,105,1258545.343281526,1258545.343296514,1.506810076534748e-05,184,20548
push,199,1258545.943358523,1258545.94337311,1.4666933566331863e-05,184,20548
push,293,1258546.543436362,1258546.543453344,1.7072074115276337e-05,184,20548
push,387,1258547.143515172,1258547.143532023,1.693214289844036e-05,184,20548
