Type,Size,Duration
wait_t,1,320.211
wait_t,1,0.0117346
wait_t,1,0.0319248
wait_t,1,0.0319849
mata_t,133,4e-08
data_t,20480,1.352e-06
mata_t,132,2.51e-07
data_t,20480,1.4e-07
mata_t,133,9e-08
data_t,20480,5e-08
mata_t,132,7e-08
data_t,20480,5e-08
wait_t,1,3.857e-06
wait_t,1,1.774e-06
wait_t,1,5.91e-07
wait_t,1,3.81e-07
mata_t,132,6e-08
data_t,20480,3.61e-07
mata_t,132,9.1e-08
data_t,20480,1.4e-07
mata_t,131,6e-08
data_t,20480,1.31e-07
mata_t,132,6e-08
data_t,20480,1.2e-07
wait_t,1,6.663e-06
wait_t,1,5.01e-07
wait_t,1,4.81e-07
wait_t,1,8.92e-07
mata_t,133,6e-08
data_t,20480,4.61e-07
mata_t,132,8e-08
data_t,20480,1.3e-07
mata_t,133,7e-08
data_t,20480,5e-08
mata_t,133,7e-08
data_t,20480,2.1e-07
wait_t,1,6.262e-06
wait_t,1,6.01e-07
wait_t,1,4.11e-07
wait_t,1,6.22e-07
mata_t,133,4e-08
data_t,20480,5.21e-07
mata_t,134,8.1e-08
data_t,20480,5e-08
mata_t,134,8e-08
data_t,20480,4.1e-08
mata_t,134,7e-08
data_t,20480,4e-08
wait_t,1,5.972e-06
wait_t,1,8.72e-07
wait_t,1,4.61e-07
wait_t,1,8.82e-07
mata_t,133,5e-08
data_t,20480,5.31e-07
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,134,9e-08
data_t,20480,4e-08
mata_t,133,7.1e-08
data_t,20480,4e-08
wait_t,1,3.717e-06
wait_t,1,5.51e-07
wait_t,1,6.22e-07
wait_t,1,9.92e-07
mata_t,133,5e-08
data_t,20480,2.81e-07
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,133,8e-08
data_t,20480,4e-08
mata_t,133,8e-08
data_t,20480,4e-08
wait_t,1,6.242e-06
wait_t,1,6.01e-07
wait_t,1,3.61e-07
wait_t,1,3.91e-07
mata_t,133,5e-08
data_t,20480,4.4e-07
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,133,7.1e-08
data_t,20480,4e-08
mata_t,134,7e-08
data_t,20480,4e-08
wait_t,1,6.552e-06
wait_t,1,8.91e-07
wait_t,1,5.91e-07
wait_t,1,6.01e-07
mata_t,133,4e-08
data_t,20480,4.41e-07
mata_t,133,1.51e-07
data_t,20480,4e-08
mata_t,134,7e-08
data_t,20480,6e-08
mata_t,134,7e-08
data_t,20480,4e-08
wait_t,1,6.212e-06
wait_t,1,4.41e-07
wait_t,1,3.91e-07
wait_t,1,8.62e-07
mata_t,133,5e-08
data_t,20480,4.4e-07
mata_t,133,8e-08
data_t,20480,4e-08
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,133,7e-08
data_t,20480,1.2e-07
wait_t,1,4.268e-06
wait_t,1,6.01e-07
wait_t,1,4.11e-07
wait_t,1,4.21e-07
mata_t,132,5e-08
data_t,20480,1.81e-07
mata_t,133,8e-08
data_t,20480,5e-08
mata_t,132,6.1e-08
data_t,20480,5e-08
mata_t,133,7.1e-08
data_t,20480,4e-08
wait_t,1,6.462e-06
wait_t,1,8.22e-07
wait_t,1,5.51e-07
