type,index,start,stop,duration,metadata_size,data_size
push,0,1443376.901357246,1443376.901419753,6.266799755394459e-05,184,20540
push,94,1443377.501492129,1443377.50152475,3.2822135835886e-05,184,20548
push,188,1443378.101591045,1443378.101608758,1.7862999811768532e-05,184,20548
push,282,1443378.701676215,1443378.701692776,1.6680918633937836e-05,184,20548
push,376,1443379.301756916,1443379.301774459,1.763296313583851e-05,184,20548
push,470,1443379.901839881,1443379.901856352,1.6591977328062057e-05,184,20548
push,564,1443380.501920984,1443380.501938647,1.7773127183318138e-05,184,20548
push,658,1443381.10200998,1443381.102027333,1.7483020201325417e-05,184,20548
push,752,1443381.702092455,1443381.702109317,1.698196865618229e-05,184,20548
push,846,1443382.302172104,1443382.3021911,1.908605918288231e-05,184,20548
push,940,1443382.902255391,1443382.902271261,1.5990110114216805e-05,184,20548
push,1034,1443383.502335471,1443383.502353144,1.775287091732025e-05,184,20548
push,1128,1443384.10241495,1443384.102429738,1.4897901564836502e-05,184,20548
push,1222,1443384.702491584,1443384.702509788,1.830398105084896e-05,184,20548
push,1316,1443385.302575822,1443385.302592192,1.644110307097435e-05,184,20548
push,1410,1443385.902655711,1443385.902672012,1.636100932955742e-05,184,20548
push,1,1443386.502735361,1443386.502755238,1.994706690311432e-05,184,20548
push,95,1443387.102818647,1443387.10283615,1.7603160813450813e-05,184,20548
push,189,1443387.70290003,1443387.702917913,1.8044142052531242e-05,184,20548
push,283,1443388.302963829,1443388.302981502,1.7803162336349487e-05,184,20548
push,377,1443388.903047025,1443388.903064358,1.74730084836483e-05,184,20548
push,471,1443389.503126104,1443389.503141673,1.5659024938941002e-05,184,20548
push,565,1443390.103206434,1443390.103223156,1.6801990568637848e-05,184,20548
push,659,1443390.703285883,1443390.703302965,1.7232028767466545e-05,184,20548
push,753,1443391.303365843,1443391.303384919,1.913611777126789e-05,184,20548
push,847,1443391.903449991,1443391.903466893,1.7001992091536522e-05,184,20548
push,941,1443392.503532676,1443392.50355058,1.8003862351179123e-05,184,20548
push,1035,1443393.10361488,1443393.103632353,1.7562881112098694e-05,184,20548
push,1129,1443393.703696182,1443393.703712403,1.6320962458848953e-05,184,20548
push,1223,1443394.303776233,1443394.303794227,1.8083956092596054e-05,184,20548
push,1317,1443394.903862454,1443394.903880769,1.837499439716339e-05,184,20548
push,1411,1443395.503954988,1443395.503972871,1.795310527086258e-05,184,20548
push,2,1443396.104037823,1443396.10405725,1.9507016986608505e-05,184,20548
push,96,1443396.704122302,1443396.704139594,1.740315929055214e-05,184,20548
push,190,1443397.304207181,1443397.304226988,1.988699659705162e-05,184,20548
push,284,1443397.90429764,1443397.904315173,1.7612939700484276e-05,184,20548
push,378,1443398.504378312,1443398.504395043,1.6791047528386116e-05,184,20548
push,472,1443399.104460085,1443399.104477728,1.770397648215294e-05,184,20548
push,566,1443399.704541899,1443399.704561135,1.9315863028168678e-05,184,20548
push,660,1443400.304627599,1443400.304645723,1.8214108422398567e-05,184,20548
push,754,1443400.904709072,1443400.904727326,1.8314924091100693e-05,184,20548
push,848,1443401.504792058,1443401.504809952,1.7974060028791428e-05,184,20548
push,942,1443402.104873511,1443402.104891294,1.7852988094091415e-05,184,20548
push,1036,1443402.704955414,1443402.704971865,1.651095226407051e-05,184,20548
push,1130,1443403.305035324,1443403.305051284,1.60199124366045e-05,184,20548
push,1224,1443403.905114322,1443403.905132326,1.8073944374918938e-05,184,20548
push,1318,1443404.505195825,1443404.505211915,1.6150064766407013e-05,184,20548
push,1412,1443405.105277488,1443405.105293268,1.583993434906006e-05,184,20548
push,3,1443405.705360033,1443405.705378307,1.8373830243945122e-05,184,20548
push,97,1443406.305441956,1443406.305459189,1.7303042113780975e-05,184,20548
push,191,1443406.905523148,1443406.905541022,1.805415377020836e-05,184,20548
push,285,1443407.505605663,1443407.505623387,1.778407022356987e-05,184,20548
push,379,1443408.105687577,1443408.10570478,1.7273006960749626e-05,184,20548
push,473,1443408.705773478,1443408.705791612,1.8215039744973183e-05,184,20548
push,567,1443409.305854911,1443409.305873275,1.843390055000782e-05,184,20548
push,661,1443409.905938207,1443409.90595559,1.750304363667965e-05,184,20548
push,755,1443410.50601977,1443410.50603573,1.6040168702602386e-05,184,20548
push,849,1443411.106099019,1443411.106115871,1.6941921785473824e-05,184,20548
push,943,1443411.706182936,1443411.706200669,1.7792917788028717e-05,184,20548
push,1037,1443412.306264218,1443412.306283685,1.9527040421962738e-05,184,20548
push,1131,1443412.906348847,1443412.906369717,2.093985676765442e-05,184,20548
push,1225,1443413.506434468,1443413.506452051,1.7662998288869858e-05,184,20548
push,1319,1443414.106516521,1443414.106533152,1.6710953786969185e-05,184,20548
push,1413,1443414.706596315,1443414.706612365,1.6120029613375664e-05,184,20548
push,4,1443415.306676249,1443415.306698481,2.232193946838379e-05,184,20548
push,98,1443415.906762705,1443415.906779457,1.6862060874700546e-05,184,20548
push,192,1443416.506844573,1443416.506864069,1.9567087292671204e-05,184,20548
