type,index,start,stop,duration,metadata_size,data_size
push,0,1258439.34163785,1258439.34170664,6.900005973875523e-05,184,20540
push,94,1258439.941777134,1258439.941809285,3.234087489545345e-05,184,20548
push,188,1258440.541872216,1258440.541885601,1.354515552520752e-05,184,20548
push,282,1258441.141948271,1258441.14196386,1.5739817172288895e-05,184,20548
push,376,1258441.74202644,1258441.742043342,1.7012935131788254e-05,184,20548
push,470,1258442.342107525,1258442.342123826,1.6410835087299347e-05,184,20548
push,564,1258442.942187769,1258442.942199451,1.1771917343139648e-05,184,20548
push,658,1258443.542265798,1258443.542280876,1.5238067135214806e-05,184,20548
flush_after,658,1258443.542285405,1258443.587552944,0.04526793980039656,1472,164384
push,752,1258444.187620273,1258444.187642916,2.2892840206623077e-05,184,20548
push,846,1258444.787713271,1258444.787729471,1.6339821740984917e-05,184,20548
push,940,1258445.38779134,1258445.387807059,1.5829922631382942e-05,184,20548
push,1034,1258445.987869429,1258445.987884537,1.5249010175466537e-05,184,20548
push,1128,1258446.587946727,1258446.587958689,1.2052012607455254e-05,184,20548
push,1222,1258447.188018704,1258447.18803207,1.3445969671010971e-05,184,20548
push,1316,1258447.788091984,1258447.788104909,1.3015000149607658e-05,184,20548
push,1410,1258448.388166346,1258448.388184921,1.867511309683323e-05,184,20548
flush_after,1410,1258448.388188618,1258448.467551994,0.07936384691856802,1472,164384
push,1,1258449.067619544,1258449.067642467,2.3073051124811172e-05,184,20548
push,95,1258449.667707892,1258449.667723552,1.5750061720609665e-05,184,20548
push,189,1258450.267786522,1258450.26780638,2.0008068531751633e-05,184,20548
push,283,1258450.867871695,1258450.867888346,1.6761943697929382e-05,184,20548
push,377,1258451.467951718,1258451.467964191,1.257401891052723e-05,184,20548
push,471,1258452.068025759,1258452.06803691,1.1231983080506325e-05,184,20548
push,565,1258452.668097086,1258452.668107636,1.0639894753694534e-05,184,20548
push,659,1258453.268168873,1258453.268182679,1.3896031305193901e-05,184,20548
flush_after,659,1258453.268185084,1258453.315551715,0.04736698092892766,1472,164384
push,753,1258453.915615908,1258453.915633341,1.7522834241390228e-05,184,20548
push,847,1258454.51569554,1258454.515708534,1.3085082173347473e-05,184,20548
push,941,1258455.115770663,1258455.115782877,1.2284144759178162e-05,184,20548
